Date,Position,Track Name,Artist,Streams,Date,Region,Continent
2017-01-30,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3053882,2017-01-30,global,
2017-01-30,6,Despacito (Featuring Daddy Yankee),Luis Fonsi,2967051,2017-01-30,global,
2017-01-30,7,Starboy,The Weeknd,2731586,2017-01-30,global,
2017-01-30,8,Say You Won't Let Go,James Arthur,2608052,2017-01-30,global,
2017-01-30,9,Closer,The Chainsmokers,2539314,2017-01-30,global,
2017-01-30,10,Bad and Boujee (feat. Lil Uzi Vert),Migos,2514978,2017-01-30,global,
2017-01-31,1,Shape of You,Ed Sheeran,7419406,2017-01-31,global,
2017-01-31,2,Paris,The Chainsmokers,4115100,2017-01-31,global,
2017-01-31,3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3792324,2017-01-31,global,
2017-01-31,4,Castle on the Hill,Ed Sheeran,3438970,2017-01-31,global,
2017-01-31,5,Despacito (Featuring Daddy Yankee),Luis Fonsi,3221839,2017-01-31,global,
2017-01-31,6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3152400,2017-01-31,global,
2017-01-31,7,Starboy,The Weeknd,2819430,2017-01-31,global,
2017-01-31,8,Say You Won't Let Go,James Arthur,2722644,2017-01-31,global,
